pilot_id,season,round_number,race_date,event_timezone,event_name,country,location,event_slug,season_slug,archive_url,archive_system,event_format,has_sprint,regime,is_pilot,catalog_source_url,selection_reason
2018-aus,2018,1,2018-03-25,+11:00,Australian Grand Prix,Australia,Melbourne,australian-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/australian-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-bhr,2018,2,2018-04-08,+03:00,Bahrain Grand Prix,Bahrain,Sakhir,bahrain-grand-prix,,https://www.fia.com/events/fia-formula-one-world-championship/season-2018/eventtiming-information-0,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-chn,2018,3,2018-04-15,+08:00,Chinese Grand Prix,China,Shanghai,chinese-grand-prix,,https://www.fia.com/events/fia-formula-one-world-championship/season-2018/eventtiming-information-1,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-aze,2018,4,2018-04-29,+04:00,Azerbaijan Grand Prix,Azerbaijan,Baku,azerbaijan-grand-prix,,https://www.fia.com/events/fia-formula-one-world-championship/season-2018/eventtiming-information-23,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-esp,2018,5,2018-05-13,+02:00,Spanish Grand Prix,Spain,Barcelona,spanish-grand-prix,,https://www.fia.com/events/fia-formula-one-world-championship/season-2018/eventtiming-information-3,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-mco,2018,6,2018-05-27,+02:00,Monaco Grand Prix,Monaco,Monte Carlo,monaco-grand-prix,,https://www.fia.com/events/fia-formula-one-world-championship/season-2018/eventtiming-information-4,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-can,2018,7,2018-06-10,-04:00,Canadian Grand Prix,Canada,Montréal,canadian-grand-prix,,https://www.fia.com/events/fia-formula-one-world-championship/season-2018/eventtiming-information-5,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-fra,2018,8,2018-06-24,+02:00,French Grand Prix,France,Le Castellet,french-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/french-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-aut,2018,9,2018-07-01,+02:00,Austrian Grand Prix,Austria,Spielberg,austrian-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/austrian-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-gbr,2018,10,2018-07-08,+01:00,British Grand Prix,Great Britain,Silverstone,british-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/british-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-deu,2018,11,2018-07-22,+02:00,German Grand Prix,Germany,Hockenheim,german-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/german-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-hun,2018,12,2018-07-29,+02:00,Hungarian Grand Prix,Hungary,Budapest,hungarian-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/hungarian-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-bel,2018,13,2018-08-26,+02:00,Belgian Grand Prix,Belgium,Spa-Francorchamps,belgian-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/belgian-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-ita,2018,14,2018-09-02,+02:00,Italian Grand Prix,Italy,Monza,italian-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/italian-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-sgp,2018,15,2018-09-16,+08:00,Singapore Grand Prix,Singapore,Singapore,singapore-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/singapore-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-rus,2018,16,2018-09-30,+03:00,Russian Grand Prix,Russia,Sochi,russian-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/russian-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-jpn,2018,17,2018-10-07,+09:00,Japanese Grand Prix,Japan,Suzuka,japanese-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/japanese-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-usa,2018,18,2018-10-21,-05:00,United States Grand Prix,United States,Austin,united-states-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/united-states-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-mex,2018,19,2018-10-28,-06:00,Mexican Grand Prix,Mexico,Mexico City,mexican-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/mexican-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-bra,2018,20,2018-11-11,-02:00,Brazilian Grand Prix,Brazil,São Paulo,brazilian-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/brazilian-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2018-abu,2018,21,2018-11-25,+04:00,Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,abu-dhabi-grand-prix,,https://www.fia.com/championship/events/fia-formula-one-world-championship/season-2018/abu-dhabi-grand-prix,legacy_event_timing,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-aus,2019,1,2019-03-17,+11:00,Australian Grand Prix,Australia,Melbourne,Australian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Australian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-bhr,2019,2,2019-03-31,+03:00,Bahrain Grand Prix,Bahrain,Sakhir,Bahrain%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Bahrain%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-chn,2019,3,2019-04-14,+08:00,Chinese Grand Prix,China,Shanghai,Chinese%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Chinese%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-aze,2019,4,2019-04-28,+04:00,Azerbaijan Grand Prix,Azerbaijan,Baku,Azerbaijan%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Azerbaijan%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-esp,2019,5,2019-05-12,+02:00,Spanish Grand Prix,Spain,Barcelona,Spanish%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Spanish%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-mco,2019,6,2019-05-26,+02:00,Monaco Grand Prix,Monaco,Monte Carlo,Monaco%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Monaco%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-can,2019,7,2019-06-09,-04:00,Canadian Grand Prix,Canada,Montréal,Canadian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Canadian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-fra,2019,8,2019-06-23,+02:00,French Grand Prix,France,Le Castellet,French%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/French%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-aut,2019,9,2019-06-30,+02:00,Austrian Grand Prix,Austria,Spielberg,Austrian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Austrian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,True,https://github.com/theOehrly/Fast-F1,Feasibility pilot event retained in the full study catalog.
2019-gbr,2019,10,2019-07-14,+01:00,British Grand Prix,Great Britain,Silverstone,British%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/British%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-deu,2019,11,2019-07-28,+02:00,German Grand Prix,Germany,Hockenheim,German%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/German%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-hun,2019,12,2019-08-04,+02:00,Hungarian Grand Prix,Hungary,Budapest,Hungarian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Hungarian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-bel,2019,13,2019-09-01,+02:00,Belgian Grand Prix,Belgium,Spa-Francorchamps,Belgian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Belgian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-ita,2019,14,2019-09-08,+02:00,Italian Grand Prix,Italy,Monza,Italian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Italian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-sgp,2019,15,2019-09-22,+08:00,Singapore Grand Prix,Singapore,Singapore,Singapore%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Singapore%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-rus,2019,16,2019-09-29,+03:00,Russian Grand Prix,Russia,Sochi,Russian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Russian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-jpn,2019,17,2019-10-13,+09:00,Japanese Grand Prix,Japan,Suzuka,Japanese%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Japanese%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-mex,2019,18,2019-10-27,-06:00,Mexican Grand Prix,Mexico,Mexico City,Mexican%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Mexican%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-usa,2019,19,2019-11-03,-06:00,United States Grand Prix,United States,Austin,United%20States%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/United%20States%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-bra,2019,20,2019-11-17,-03:00,Brazilian Grand Prix,Brazil,São Paulo,Brazilian%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Brazilian%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2019-abu,2019,21,2019-12-01,+04:00,Abu Dhabi Grand Prix,Abu Dhabi,Yas Island,Abu%20Dhabi%20Grand%20Prix,season-2019-971,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Abu%20Dhabi%20Grand%20Prix/season/season-2019-971,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-aut,2020,1,2020-07-05,+02:00,Austrian Grand Prix,Austria,Spielberg,Austrian%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Austrian%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-sty,2020,2,2020-07-12,+02:00,Styrian Grand Prix,Austria,Spielberg,Styrian%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Styrian%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-hun,2020,3,2020-07-19,+02:00,Hungarian Grand Prix,Hungary,Budapest,Hungarian%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Hungarian%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-gbr,2020,4,2020-08-02,+01:00,British Grand Prix,Great Britain,Silverstone,British%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/British%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-70a,2020,5,2020-08-09,+01:00,70th Anniversary Grand Prix,Great Britain,Silverstone,Formula%201%2070th%20Anniversary%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Formula%201%2070th%20Anniversary%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-esp,2020,6,2020-08-16,+02:00,Spanish Grand Prix,Spain,Barcelona,Spanish%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Spanish%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-bel,2020,7,2020-08-30,+02:00,Belgian Grand Prix,Belgium,Spa-Francorchamps,Belgian%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Belgian%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-ita,2020,8,2020-09-06,+02:00,Italian Grand Prix,Italy,Monza,Italian%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Italian%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-tus,2020,9,2020-09-13,+02:00,Tuscan Grand Prix,Italy,Mugello,Tuscan%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Tuscan%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-rus,2020,10,2020-09-27,+03:00,Russian Grand Prix,Russia,Sochi,Russian%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Russian%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-eif,2020,11,2020-10-11,+02:00,Eifel Grand Prix,Germany,Nürburgring,Eifel%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Eifel%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-por,2020,12,2020-10-25,+00:00,Portuguese Grand Prix,Portugal,Portimão,Portuguese%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Portuguese%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-emi,2020,13,2020-11-01,+01:00,Emilia Romagna Grand Prix,Italy,Imola,Emilia%20Romagna%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Emilia%20Romagna%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-tur,2020,14,2020-11-15,+03:00,Turkish Grand Prix,Turkey,Istanbul,Turkish%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Turkish%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-bhr,2020,15,2020-11-29,+03:00,Bahrain Grand Prix,Bahrain,Sakhir,Bahrain%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Bahrain%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-skh,2020,16,2020-12-06,+03:00,Sakhir Grand Prix,Bahrain,Sakhir,Sakhir%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Sakhir%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2020-abu,2020,17,2020-12-13,+04:00,Abu Dhabi Grand Prix,Abu Dhabi,Yas Island,Abu%20Dhabi%20Grand%20Prix,season-2020-1059,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Abu%20Dhabi%20Grand%20Prix/season/season-2020-1059,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-bhr,2021,1,2021-03-28,+03:00,Bahrain Grand Prix,Bahrain,Sakhir,Bahrain%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Bahrain%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-emi,2021,2,2021-04-18,+02:00,Emilia Romagna Grand Prix,Italy,Imola,Emilia%20Romagna%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Emilia%20Romagna%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-por,2021,3,2021-05-02,+01:00,Portuguese Grand Prix,Portugal,Portimão,Portuguese%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Portuguese%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-esp,2021,4,2021-05-09,+02:00,Spanish Grand Prix,Spain,Barcelona,Spanish%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Spanish%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-mco,2021,5,2021-05-23,+02:00,Monaco Grand Prix,Monaco,Monte Carlo,Monaco%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Monaco%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-aze,2021,6,2021-06-06,+04:00,Azerbaijan Grand Prix,Azerbaijan,Baku,Azerbaijan%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Azerbaijan%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-fra,2021,7,2021-06-20,+02:00,French Grand Prix,France,Le Castellet,French%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/French%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-sty,2021,8,2021-06-27,+02:00,Styrian Grand Prix,Austria,Spielberg,Styrian%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Styrian%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-aut,2021,9,2021-07-04,+02:00,Austrian Grand Prix,Austria,Spielberg,Austrian%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Austrian%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-gbr,2021,10,2021-07-18,+01:00,British Grand Prix,Great Britain,Silverstone,British%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/British%20Grand%20Prix/season/season-2021-1108,document_archive,sprint,True,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-hun,2021,11,2021-08-01,+02:00,Hungarian Grand Prix,Hungary,Budapest,Hungarian%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Hungarian%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-bel,2021,12,2021-08-29,+02:00,Belgian Grand Prix,Belgium,Spa-Francorchamps,Belgian%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Belgian%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-ned,2021,13,2021-09-05,+02:00,Dutch Grand Prix,Netherlands,Zandvoort,Dutch%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Dutch%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-ita,2021,14,2021-09-12,+02:00,Italian Grand Prix,Italy,Monza,Italian%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Italian%20Grand%20Prix/season/season-2021-1108,document_archive,sprint,True,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
2021-rus,2021,15,2021-09-26,+03:00,Russian Grand Prix,Russia,Sochi,Russian%20Grand%20Prix,season-2021-1108,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Russian%20Grand%20Prix/season/season-2021-1108,document_archive,conventional,False,pre_driving_guidelines,False,https://github.com/theOehrly/Fast-F1,Completed Race/Sprint event in the predefined 2018-2025 population.
